City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Sept-Iles,CA,2022-06-16 10:40:04,50.2001,-66.3821,60.8,83,40,1.14
159,Geraldton,AU,2022-06-16 10:39:23,-28.7667,114.6,66.61,82,75,0.0
160,Puerto Escondido,MX,2022-06-16 10:40:04,15.85,-97.0667,76.71,83,100,2.73
161,Payakumbuh,ID,2022-06-16 10:40:04,-0.2202,100.6308,73.62,94,99,1.9
162,Hualmay,PE,2022-06-16 10:40:04,-11.0964,-77.6139,59.58,84,43,10.76
163,Khatanga,RU,2022-06-16 10:40:05,71.9667,102.5,74.32,29,98,12.73
164,Ponta Delgada,PT,2022-06-16 10:40:05,37.7333,-25.6667,68.5,72,40,11.5
165,Cayenne,GF,2022-06-16 10:40:05,4.9333,-52.3333,77.09,1,100,2.3
166,Kruisfontein,ZA,2022-06-16 10:40:05,-34.0033,24.7314,59.88,38,81,8.28
167,Johi,PK,2022-06-16 10:40:06,26.6921,67.6133,114.78,18,0,13.09
168,Katsuura,JP,2022-06-16 10:40:06,35.1333,140.3,70.99,86,100,22.79
169,Meulaboh,ID,2022-06-16 10:40:06,4.1363,96.1285,82.02,72,100,4.79
170,Nanortalik,GL,2022-06-16 10:40:06,60.1432,-45.2371,38.7,85,1,5.21
171,Ambilobe,MG,2022-06-16 10:40:07,-13.2,49.05,88.39,42,1,7.38
172,Aklavik,CA,2022-06-16 10:40:07,68.2191,-135.0107,47.16,59,1,3.76
173,Alabino,RU,2022-06-16 10:40:07,55.5268,37.0103,69.94,42,75,11.18
174,Mar Del Plata,AR,2022-06-16 10:40:07,-38.0023,-57.5575,47.08,90,100,8.05
175,Padang,ID,2022-06-16 10:40:07,-0.9492,100.3543,84.25,84,93,2.64
176,Kumphawapi,TH,2022-06-16 10:40:08,17.1087,103.0149,89.89,99,100,4.05
177,Thinadhoo,MV,2022-06-16 10:40:08,0.5333,72.9333,83.61,70,100,10.33
178,Noumea,NC,2022-06-16 10:36:47,-22.2763,166.4572,77.0,99,44,8.3
179,Huarmey,PE,2022-06-16 10:40:08,-10.0681,-78.1522,60.85,83,25,9.37
180,Kavieng,PG,2022-06-16 10:40:08,-2.5744,150.7967,81.48,77,69,10.11
181,Port Hardy,CA,2022-06-16 10:40:09,50.6996,-127.4199,50.18,100,100,2.3
182,Montes Altos,BR,2022-06-16 10:40:09,-5.8333,-47.0667,73.63,75,52,5.48
183,Vestmannaeyjar,IS,2022-06-16 10:40:09,63.4427,-20.2734,50.99,76,40,16.11
184,Quibor,VE,2022-06-16 10:41:09,9.9287,-69.6201,69.62,82,49,4.23
185,Vardo,NO,2022-06-16 10:41:09,70.3705,31.1107,40.98,93,100,17.27
