City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Plettenberg Bay,ZA,-34.0527,23.3716,56.55,51,90,6.29,overcast clouds
151,Fortuna,US,40.5982,-124.1573,56.66,90,100,1.99,overcast clouds
152,Kyshtovka,RU,56.555,76.6271,55.27,86,100,10.13,overcast clouds
153,Ambon,ID,-3.6954,128.1814,78.24,15,20,2.3,few clouds
154,Sioux Lookout,CA,50.1001,-91.917,59.07,88,100,11.5,light intensity shower rain
155,Isangel,VU,-19.55,169.2667,77.11,78,100,9.22,light rain
156,Japura,ID,-0.3167,102.35,73.04,99,100,4.74,light rain
157,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,66,3,9.01,clear sky
158,Hualmay,PE,-11.0964,-77.6139,65.41,70,38,12.03,scattered clouds
159,Klaksvik,FO,62.2266,-6.589,54.52,81,99,10.51,overcast clouds
160,Kodiak,US,57.79,-152.4072,49.51,81,100,0.0,overcast clouds
161,Rong Kwang,TH,18.339,100.3174,76.12,93,100,1.68,moderate rain
162,Tessalit,ML,20.1986,1.0114,101.88,16,21,5.35,few clouds
163,Olafsvik,IS,64.8945,-23.7142,49.68,69,50,13.11,scattered clouds
164,Kavieng,PG,-2.5744,150.7967,81.25,76,88,11.59,light rain
165,Yellowknife,CA,62.456,-114.3525,50.56,81,75,9.22,broken clouds
166,San Patricio,US,28.017,-97.5169,88.88,41,66,10.42,broken clouds
167,Mahebourg,MU,-20.4081,57.7,74.25,78,40,11.5,scattered clouds
168,Nikolskoye,RU,59.7035,30.7861,66.09,55,58,9.62,broken clouds
169,Sola,VU,-13.8833,167.55,77.67,94,75,0.0,broken clouds
170,Neiafu,TO,-18.65,-173.9833,79.48,83,40,10.36,scattered clouds
171,Borborema,BR,-21.6197,-49.0736,85.08,28,0,3.2,clear sky
172,Chuy,UY,-33.6971,-53.4616,62.46,62,100,3.91,overcast clouds
173,Hithadhoo,MV,-0.6,73.0833,84.04,64,100,10.87,overcast clouds
174,Anadyr,RU,64.75,177.4833,46.9,87,20,8.95,few clouds
175,Srandakan,ID,-7.9386,110.2506,77.92,87,90,3.44,overcast clouds
176,Luderitz,NA,-26.6481,15.1594,61.9,47,6,8.84,clear sky
177,Puerto Penasco,MX,31.3167,-113.5333,82.38,63,0,5.01,clear sky
178,San Cristobal,VE,7.7669,-72.225,80.78,51,70,7.45,broken clouds
179,Saint-Philippe,RE,-21.3585,55.7679,71.19,78,52,10.96,broken clouds
180,Casian,PH,11.035,119.7136,84.81,69,22,4.9,few clouds
181,Bethel,US,41.3712,-73.414,69.19,85,100,1.99,overcast clouds
182,Lavrentiya,RU,65.5833,-171.0,39.31,95,99,15.46,overcast clouds
183,Iwanai,JP,42.9744,140.5089,59.0,99,100,5.5,overcast clouds
184,Port Macquarie,AU,-31.4333,152.9167,45.9,71,2,5.64,clear sky
185,Nome,US,64.5011,-165.4064,42.87,81,100,5.75,overcast clouds
186,Scarborough,GB,54.2797,-0.4044,71.33,71,90,3.0,overcast clouds
187,Sabang,ID,5.8933,95.3214,82.71,74,100,7.45,overcast clouds
188,Novorudnyy,RU,51.5026,58.1873,67.28,62,7,4.72,clear sky
189,Kavaratti,IN,10.5669,72.642,83.57,72,100,13.96,overcast clouds
190,Chokurdakh,RU,70.6333,147.9167,50.41,54,98,13.31,overcast clouds
191,Talnakh,RU,69.4865,88.3972,63.21,63,100,3.69,overcast clouds
192,Xiaolingwei,CN,32.0333,118.85,76.98,62,1,4.16,clear sky
193,Pecos,US,31.4229,-103.4932,86.09,42,0,19.57,clear sky
194,Torbay,CA,47.6666,-52.7314,68.77,60,20,8.05,few clouds
195,Nioro,GM,13.35,-15.75,95.34,35,100,8.46,overcast clouds
196,Yarim,YE,14.298,44.3779,63.7,56,61,4.12,light rain
197,Santa Rosa De Viterbo,BR,-21.4728,-47.3631,83.82,27,0,1.59,clear sky
198,Fort-Shevchenko,KZ,44.5086,50.263,77.34,63,90,21.56,overcast clouds
199,Stabat,ID,3.761,98.4513,80.8,97,84,2.08,broken clouds
200,Portland,US,45.5234,-122.6762,60.64,80,75,6.91,broken clouds
201,Goderich,CA,43.7501,-81.7165,73.9,83,91,8.05,overcast clouds
202,Wanxian,CN,30.8039,108.3897,77.41,75,36,2.68,scattered clouds
203,Washougal,US,45.5826,-122.3534,60.49,85,100,6.91,overcast clouds
204,Pisco,PE,-13.7,-76.2167,64.45,63,0,6.91,smoke
205,Provideniya,RU,64.3833,-173.3,39.0,97,98,10.94,overcast clouds
206,Victoria,HK,22.2855,114.1577,84.38,86,85,10.0,light rain
207,Ca Mau,VN,9.1769,105.15,79.7,87,99,3.85,overcast clouds
208,San Carlos De Bariloche,AR,-41.1456,-71.3082,42.55,65,40,24.16,scattered clouds
209,Stutterheim,ZA,-32.5708,27.424,42.64,65,80,2.39,broken clouds
210,Zwedru,LR,6.0667,-8.1281,73.36,97,100,5.37,light rain
211,Thompson,CA,55.7435,-97.8558,53.76,87,100,10.36,overcast clouds
212,Esperance,AU,-33.8667,121.9,58.75,63,0,13.33,clear sky
213,Ilulissat,GL,69.2167,-51.1,53.62,32,20,12.66,few clouds
214,Yumen,CN,40.2833,97.2,80.28,9,87,7.23,overcast clouds
215,Backa Topola,RS,45.8152,19.6318,83.57,28,17,3.29,few clouds
216,Carnarvon,AU,-24.8667,113.6333,70.84,77,100,11.48,light rain
217,Ardesen,TR,41.1911,40.9875,71.42,85,38,6.04,scattered clouds
218,Olinda,BR,-8.0089,-34.8553,80.33,78,75,6.91,broken clouds
219,Ruda Nad Moravou,CZ,49.981,16.8778,69.3,74,89,0.74,overcast clouds
220,Santa Maria,BR,-29.6842,-53.8069,61.9,72,0,4.61,clear sky
221,Baisha,CN,26.5222,110.9311,69.8,95,100,2.21,overcast clouds
222,Oranjemund,NA,-28.55,16.4333,62.76,41,42,6.31,scattered clouds
223,Ayan,RU,56.45,138.1667,41.27,96,37,6.35,scattered clouds
224,Dudinka,RU,69.4058,86.1778,63.63,72,99,8.32,light rain
225,Yokadouma,CM,3.5167,15.05,75.87,87,93,2.66,light rain
226,Puerto Escondido,MX,15.85,-97.0667,81.43,69,100,4.61,overcast clouds
227,Toamasina,MG,-18.1667,49.3833,75.2,78,75,6.91,broken clouds
228,Merauke,ID,-8.4667,140.3333,77.85,89,75,12.21,broken clouds
229,Coihaique,CL,-45.5752,-72.0662,44.55,65,100,4.61,light intensity shower rain
230,Gizo,SB,-8.103,156.8419,81.25,78,100,6.26,overcast clouds
231,Laguna,US,38.421,-121.4238,71.08,54,0,8.05,clear sky
232,Porvoo,FI,60.3923,25.6651,69.17,52,87,8.01,overcast clouds
233,Tateyama,JP,34.9833,139.8667,73.09,91,100,20.22,overcast clouds
234,Sitka,US,57.0531,-135.33,55.29,71,0,0.0,clear sky
235,Rocha,UY,-34.4833,-54.3333,62.92,66,100,3.11,overcast clouds
236,Alekseyevsk,RU,57.8406,108.3492,64.51,59,83,0.54,broken clouds
237,Grindavik,IS,63.8424,-22.4338,53.55,62,75,23.02,broken clouds
238,Tirumullaivasal,IN,11.2333,79.8333,87.35,65,76,13.76,broken clouds
239,Santa Marta,CO,11.2408,-74.199,84.25,74,75,6.91,broken clouds
240,Antalaha,MG,-14.9003,50.2788,71.31,80,4,5.41,clear sky
241,Horadiz,AZ,39.4488,47.3353,84.97,39,1,4.9,clear sky
242,Katsuura,JP,35.1333,140.3,71.29,90,100,18.5,overcast clouds
243,Kaltasy,RU,55.9693,54.8032,66.58,86,86,3.91,overcast clouds
244,Traverse City,US,44.7631,-85.6206,80.83,50,0,13.8,clear sky
245,Ahipara,NZ,-35.1667,173.1667,55.15,89,46,5.84,scattered clouds
246,Sindor,RU,62.8629,51.8905,66.47,57,100,4.92,overcast clouds
247,Upington,ZA,-28.4478,21.2561,64.78,24,0,10.36,clear sky
248,Auki,SB,-8.7676,160.7034,76.15,89,100,4.14,overcast clouds
249,Bathsheba,BB,13.2167,-59.5167,86.61,74,40,14.97,scattered clouds
250,Tobermory,CA,45.2501,-81.6665,54.0,99,100,18.57,overcast clouds
251,Vostok,RU,46.4856,135.8833,53.35,94,55,4.03,broken clouds
252,Charters Towers,AU,-20.1,146.2667,61.48,70,2,9.13,clear sky
253,Redlands,US,34.0556,-117.1825,94.1,53,0,0.0,haze
254,Krasnoselkup,RU,65.7,82.4667,65.98,71,49,1.03,light rain
255,Port Keats,AU,-14.25,129.55,71.11,26,59,11.65,broken clouds
