City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,Kuah,MY,82.38,few clouds,6.3265,99.8432,Azio Hotel
356,Nouadhibou,MR,76.98,sand,20.931,-17.0347,El Medina
357,Rock Sound,BS,80.74,overcast clouds,24.9,-76.2,Pink Corral Bay Property
358,Porto Velho,BR,86.05,scattered clouds,-8.7619,-63.9039,Ecos Hotel Conforto
361,Umm Lajj,SA,84.18,clear sky,25.0213,37.2685,Moon light Furnished Units
362,Puerto Carreno,CO,80.58,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
366,Ixtapa,MX,80.22,overcast clouds,20.7,-105.2,hotel la terminal
368,Komsomolskiy,UZ,79.52,scattered clouds,40.4272,71.7189,Ikathouse
371,Aracati,BR,86.63,broken clouds,-4.5617,-37.7697,Hostel Pousada Ibiza
372,Jinchang,CN,81.63,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
374,Pizarro,CO,80.67,light rain,4.9533,-77.366,Hotel Limonar
376,Contamana,PE,88.83,clear sky,-7.3333,-75.0167,Shiringal Touristic Park
377,Palmas Bellas,PA,87.26,scattered clouds,9.2319,-80.0867,Antigua Residencia Galván
378,Boa Vista,BR,80.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
380,Ciudad Ojeda,VE,86.5,overcast clouds,10.1964,-71.3082,Hotel América
381,Canutama,BR,82.08,scattered clouds,-6.5339,-64.3831,Hotel Jhennifer
383,Peniche,PT,78.57,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
384,Asau,RO,76.12,broken clouds,46.4333,26.4,Casa Mika Ciobanus
386,Acapulco,MX,76.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
388,Baijiantan,CN,78.19,overcast clouds,45.6333,85.1833,
390,Tokonou,GN,79.59,light rain,9.65,-9.7833,
391,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
397,Antigonish,CA,77.14,clear sky,45.6169,-61.9986,Claymore Inn and Suites
400,Namatanai,PG,77.74,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
403,Nabire,ID,75.56,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
404,Praia Da Vitoria,PT,75.45,scattered clouds,38.7333,-27.0667,Hotel Branco I
405,Kathu,TH,86.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
412,Nanpara,IN,89.28,broken clouds,27.8667,81.5,Nanpara Hotel Residency
416,Morondava,MG,75.72,clear sky,-20.2833,44.2833,La Case Bambou
419,Tual,ID,82.26,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
420,Springdale,US,87.51,clear sky,36.1867,-94.1288,Springdale Inn
